Код ELKO;Категория;Подкатегория;Производитель;Заводской код;Название и описание продукта;Дополнительная информация;Цена RUR;В наличии MOS;В наличии SPB;Гарантия;Страница ELKO;Рейтинг PG
1122031;Комплектующие;Блоки питания;OTHER;ATX-500PRS;Блок питания ATX 500Вт ATX-500PRS FOXLINE;PSU Output Power-500 Watts/ PSU Output Power range, W-401 - 500 Watts/ Cooling System-12cm fan/ Shipping box quantity-10/ Shipping/Package Box Dimensions:Shipping Box Width-39 cm,Shipping Box Depth-47 cm,Shipping Box Height-17 cm,Shipping Box Weight-13.1 kg/ Unit Brutto Volume-0.003116 cubm/ Unit Net Weight-1.2 kg/ Unit Gross Weight-1.31 kg/ Parameter Level-3;1897.46;1;2;12 месяцев;https://ecom.elko.ru/Catalog/Product/1122031;7
1093950;Комплектующие;Блоки питания;FSP;ATX-400PNR;Блок питания ATX 400Вт ATX-400PNR FSP;PSU-ATX 2.0/ PSU Output Power-400 Watts/ Cooling System-12cm fan/ PFC-Passive/ Shipping box quantity-1/ Shipping/Package Box Dimensions:Shipping Box Width-15 cm,Shipping Box Depth-14 cm,Shipping Box Height-9 cm,Shipping Box Weight-1.26 kg/ Unit Brutto Volume-0.00189 cubm/ Unit Net Weight-1.2 kg/ Unit Gross Weight-1.26 kg/ Parameter Level-3;1766.94;10;звонить;12 месяцев;https://ecom.elko.ru/Catalog/Product/1093950;7
1163689;Комплектующие;Блоки питания;COOLER MASTER;RS700-ACABB1-EU;Блок питания ATX 700Вт RS700-ACABB1-EU COOLER MASTER;PSU-ATX 2.31/ PSU Output Power-700 Watts/ PSU Output Power range, W-> 500 Watts/ Cooling System-12cm fan/ PFC-Active/ Pallet quantity-150/ Shipping box quantity-5/ Shipping/Package Box Dimensions:Shipping Box Width-25 cm,Shipping Box Depth-51 cm,Shipping Box Height-23 cm,Shipping Box Weight-9.9 kg/ Unit Brutto Volume-0.005865 cubm/ Unit Net Weight-1.4 kg/ Unit Gross Weight-1.98 kg/ Parameter Level-3;4304.20;> 40;2;36 месяцев;https://ecom.elko.ru/Catalog/Product/1163689;7
1163690;Комплектующие;Блоки питания;COOLER MASTER;RS500-ACABB1-EU;Блок питания ATX 500Вт RS500-ACABB1-EU COOLER MASTER;PSU-ATX 2.31/ PSU Output Power-500 Watts/ PSU Output Power range, W-401 - 500 Watts/ Cooling System-12cm fan/ PFC-Active/ Pallet quantity-150/ Shipping box quantity-5/ Shipping/Package Box Dimensions:Shipping Box Width-24 cm,Shipping Box Depth-51 cm,Shipping Box Height-22 cm,Shipping Box Weight-9 kg/ Unit Brutto Volume-0.005386 cubm/ Unit Net Weight-1.3 kg/ Unit Gross Weight-1.8 kg/ Parameter Level-3;2758.66;> 100;7;36 месяцев;https://ecom.elko.ru/Catalog/Product/1163690;7
1163695;Комплектующие;Блоки питания;COOLER MASTER;TM500-PSAPI3-IT;Блок питания ATX 500Вт TM500-PSAPI3-IT COOLER MASTER;PSU Output Power-500 Watts/ PSU Output Power range, W-401 - 500 Watts/ Cooling System-12cm fan/ PFC-Passive/ Shipping box quantity-1/ Shipping/Package Box Dimensions:Shipping Box Width-50 cm,Shipping Box Depth-42.5 cm,Shipping Box Height-17 cm,Shipping Box Weight-12.4 kg/ Unit Brutto Volume-0.03612 cubm/ Unit Net Weight-0.9 kg/ Unit Gross Weight-12.4 kg/ Parameter Level-3;1566.06;> 100;> 10;24 месяца;https://ecom.elko.ru/Catalog/Product/1163695;7
1163696;Комплектующие;Блоки питания;COOLER MASTER;RS600-ACABB1-EU;Блок питания ATX 600Вт RS600-ACABB1-EU COOLER MASTER;PSU-ATX 2.31/ PSU Output Power-600 Watts/ PSU Output Power range, W-> 500 Watts/ Cooling System-12cm fan/ PFC-Active/ Pallet quantity-150/ Shipping box quantity-5/ Shipping/Package Box Dimensions:Shipping Box Width-22 cm,Shipping Box Depth-35 cm,Shipping Box Height-23 cm,Shipping Box Weight-9.75 kg/ Unit Brutto Volume-0.003542 cubm/ Unit Net Weight-1.3 kg/ Unit Gross Weight-1.95 kg/ Parameter Level-3;3575.80;> 100;4;36 месяцев;https://ecom.elko.ru/Catalog/Product/1163696;7
1165434;Комплектующие;Видеокарты;GIGABYTE;GV-N720D3-1GL;Видеокарта PCIE16 GT720 1GB GDDR3 GV-N720D3-1GL;Chipset-NVIDIA GeForce GT 720/ Graphics memory size-1024 MB/ Memory bus-64 bit/ Graphics connector-PCIE 2.0 16x/ Graphics memory type-GDDR3/ Memory clock-1800 MHz/ GPU clock-797 MHz/ Max resolution-4096x2160/ Cooling system-Single Slot Fansink/ Input/Output connectors:15pin D-sub-1,DVI-1,HDMI-1/ Shipping box quantity-30/ Shipping/Package Box Dimensions:Shipping Box Width-37 cm,Shipping Box Depth-48 cm,Shipping Box Height-25 cm,Shipping Box Weight-10 kg/ Unit Brutto Volume-0.00148 cubm/ Unit Net Weight-0.25 kg/ Unit Gross Weight-0.333 kg/ Parameter Level-3;2856.67;7;4;36 месяцев;https://ecom.elko.ru/Catalog/Product/1165434;11
1165289;Комплектующие;Видеокарты;GIGABYTE;GV-N730SL-2GL;Видеокарта PCIE8 GT730 2GB GDDR3 GV-N730SL-2GL;Chipset-NVIDIA GeForce GT 730/ Graphics memory size-2048 MB/ Memory bus-64 bit/ Graphics connector-PCIE 2.0 16x/ Graphics memory type-GDDR3/ Memory clock-1800 MHz/ GPU clock-902 MHz/ Max resolution-4096x2160/ Cooling system-Heatsink (passive)/ Input/Output connectors:15pin D-sub-1,DVI-1,HDMI-1/ Shipping box quantity-20/ Shipping/Package Box Dimensions:Shipping Box Width-44 cm,Shipping Box Depth-55 cm,Shipping Box Height-34 cm,Shipping Box Weight-12.2 kg/ Unit Brutto Volume-0.004114 cubm/ Unit Net Weight-0.45 kg/ Unit Gross Weight-0.61 kg/ Parameter Level-3;3774.45;> 100;5;36 месяцев;https://ecom.elko.ru/Catalog/Product/1165289;11
1165291;Комплектующие;Видеокарты;GIGABYTE;GV-R726XOC-2GDV3.0;Видеокарта PCIE16 R7 260X 2GB GDDR5 GV-R726XOC-2GD V3.0;Chipset-AMD Radeon R7 260X/ Graphics memory size-2048 MB/ Memory bus-128 bit/ Graphics connector-PCIE 3.0 16x/ Graphics memory type-GDDR5/ Memory clock-5000 MHz/ GPU clock-1100 MHz/ GPU boost clock-1188 MHz/ Max resolution-4096x2160/ Cooling system-Dual Slot Fansink/ Input/Output connectors:DVI-2,HDMI-1,DisplayPort-1/ Shipping box quantity-10/ Shipping/Package Box Dimensions:Shipping Box Width-32 cm,Shipping Box Depth-49 cm,Shipping Box Height-36 cm,Shipping Box Weight-8.9 kg/ Unit Brutto Volume-0.005645 cubm/ Unit Net Weight-0.6 kg/ Unit Gross Weight-0.89 kg/ Parameter Level-3;7383.36;> 40;5;36 месяцев;https://ecom.elko.ru/Catalog/Product/1165291;11
1164238;Комплектующие;Видеокарты;MSI;N720-2GD3HLP;Видеокарта PCIE16 GT720 2GB GDDR3 N720-2GD3HLP;Chipset-NVIDIA GeForce GT 720/ Graphics memory size-2048 MB/ Memory bus-64 bit/ Graphics connector-PCIE 2.0 16x/ Graphics memory type-GDDR3/ Memory clock-1600 MHz/ GPU clock-797 MHz/ Max resolution-2048x1536/ Cooling system-Heatsink (passive)/ Input/Output connectors:15pin D-sub-1,DVI-1,HDMI-1/ Shipping box quantity-20/ Shipping/Package Box Dimensions:Shipping Box Width-37 cm,Shipping Box Depth-56 cm,Shipping Box Height-26 cm,Shipping Box Weight-9.7 kg/ Unit Brutto Volume-0.002694 cubm/ Unit Net Weight-0.198 kg/ Unit Gross Weight-0.485 kg/ Parameter Level-3;3344.03;звонить;2;36 месяцев;https://ecom.elko.ru/Catalog/Product/1164238;11
1164240;Комплектующие;Видеокарты;MSI;N720-1GD5HLP;Видеокарта PCIE16 GT720 1GB GDDR5 N720-1GD5HLP;Chipset-NVIDIA GeForce GT 720/ Graphics memory size-1024 MB/ Memory bus-64 bit/ Graphics connector-PCIE 2.0 16x/ Graphics memory type-GDDR5/ Memory clock-5000 MHz/ GPU clock-797 MHz/ Max resolution-2560x1600/ Cooling system-Heatsink (passive)/ Input/Output connectors:15pin D-sub-1,DVI-1,HDMI-1/ Included Accessories-Driver CD, Installation Guide/ Shipping box quantity-20/ Shipping/Package Box Dimensions:Shipping Box Width-37 cm,Shipping Box Depth-57 cm,Shipping Box Height-27 cm,Shipping Box Weight-12 kg/ Unit Brutto Volume-0.002847 cubm/ Unit Net Weight-0.292 kg/ Unit Gross Weight-0.6 kg/ Parameter Level-3;2983.14;8;4;36 месяцев;https://ecom.elko.ru/Catalog/Product/1164240;11
1164545;Комплектующие;Видеокарты;GIGABYTE;GV-N970IXOC-4GD;Видеокарта PCIE16 GTX970 4GB GDDR5 GV-N970IXOC-4GD;Chipset-NVIDIA GeForce GTX 970/ Graphics memory size-4096 MB/ Memory bus-256 bit/ Graphics connector-PCIE 3.0 16x/ Graphics memory type-GDDR5/ Memory clock-7010 MHz/ GPU clock-1076 MHz/ GPU boost clock-1216 MHz/ Max resolution-4096x2160/ Cooling system-Dual Slot Fansink/ Input/Output connectors:DVI-2,HDMI-1,DisplayPort-3/ Shipping box quantity-20/ Shipping/Package Box Dimensions:Shipping Box Width-44.5 cm,Shipping Box Depth-55 cm,Shipping Box Height-33 cm,Shipping Box Weight-20.68 kg/ Unit Brutto Volume-0.004038 cubm/ Unit Net Weight-0.8 kg/ Unit Gross Weight-1.03 kg/ Parameter Level-3;21057.49;3;звонить;36 месяцев;https://ecom.elko.ru/Catalog/Product/1164545;11
1163822;Комплектующие;Видеокарты;GIGABYTE;GV-N980WF3OC-4GD;Видеокарта PCIE16 GTX980 4Гб GDDR5 GV-N980WF3OC-4GD;Chipset-NVIDIA GeForce GTX 980/ Graphics memory size-4096 MB/ Memory bus-256 bit/ Graphics connector-PCIE 3.0 16x/ Graphics memory type-GDDR5/ Memory clock-7000 MHz/ GPU clock-1178 MHz/ GPU boost clock-1279 MHz/ Max resolution-4096x2160/ Cooling system-Dual Slot Fansink/ Input/Output connectors:DVI-2,HDMI-1,DisplayPort-3/ Shipping box quantity-10/ Shipping/Package Box Dimensions:Shipping Box Width-47 cm,Shipping Box Depth-49 cm,Shipping Box Height-42.5 cm,Shipping Box Weight-14.8 kg/ Unit Brutto Volume-0.009788 cubm/ Unit Net Weight-1.3 kg/ Unit Gross Weight-1.48 kg/ Parameter Level-3;34036.31;> 40;2;36 месяцев;https://ecom.elko.ru/Catalog/Product/1163822;11
1166965;Комплектующие;Видеокарты;GIGABYTE;GV-N960WF2OC-2GD;Видеокарта PCIE16 GTX960 2GB GDDR5 GV-N960WF2OC-2GD;Chipset-NVIDIA GeForce GTX 960/ Graphics memory size-2048 MB/ Memory bus-128 bit/ Graphics connector-PCIE 3.0 16x/ Graphics memory type-GDDR5/ Memory clock-7010 MHz/ GPU clock-1216 MHz/ GPU boost clock-1279 MHz/ Max resolution-4096x2160/ Cooling system-Dual Slot Fansink/ Input/Output connectors:DVI-2,HDMI-1,DisplayPort-3/ Shipping box quantity-10/ Shipping/Package Box Dimensions:Shipping Box Width-31.5 cm,Shipping Box Depth-49 cm,Shipping Box Height-36 cm,Shipping Box Weight-10.1 kg/ Unit Brutto Volume-0.005557 cubm/ Unit Net Weight-0.7 kg/ Unit Gross Weight-1.01 kg/ Parameter Level-3;14236.98;7;2;36 месяцев;https://ecom.elko.ru/Catalog/Product/1166965;11
1166967;Комплектующие;Видеокарты;GIGABYTE;GV-N960IXOC-2GD;Видеокарта PCIE16 GTX960 2GB GDDR5 GV-N960IXOC-2GD;Chipset-NVIDIA GeForce GTX 960/ Graphics memory size-2048 MB/ Memory bus-128 bit/ Graphics connector-PCIE 3.0 16x/ Graphics memory type-GDDR5/ Memory clock-7010 MHz/ GPU clock-1165 MHz/ GPU boost clock-1228 MHz/ Max resolution-4096x2160/ Cooling system-Dual Slot Fansink/ Input/Output connectors:DVI-2,HDMI-1,DisplayPort-1/ Shipping box quantity-20/ Shipping/Package Box Dimensions:Shipping Box Width-44 cm,Shipping Box Depth-54.5 cm,Shipping Box Height-32 cm,Shipping Box Weight-17.8 kg/ Unit Brutto Volume-0.003837 cubm/ Unit Net Weight-0.69 kg/ Unit Gross Weight-0.89 kg/ Parameter Level-3;13343.03;звонить;звонить;36 месяцев;https://ecom.elko.ru/Catalog/Product/1166967;11
1166976;Комплектующие;Видеокарты;MSI;GTX960GAMING2G;Видеокарта PCIE16 GTX960 2GB GDDR5 GTX 960 GAMING 2G;Chipset-NVIDIA GeForce GTX 960/ Graphics memory size-2048 MB/ Memory bus-128 bit/ Graphics connector-PCIE 3.0 16x/ Graphics memory type-GDDR5/ Memory clock-7010 MHz/ GPU clock-1190 MHz/ GPU boost clock-1253 MHz/ Max resolution-4096x2160/ Cooling system-Dual Slot Fansink/ Input/Output connectors:DVI-1,HDMI-1,DisplayPort-3/ Unit Brutto Volume-0.009324 cubm/ Unit Net Weight-1.5 kg/ Unit Gross Weight-1.9 kg/ Parameter Level-1;14534.96;7;2;36 месяцев;https://ecom.elko.ru/Catalog/Product/1166976;11
1166910;Комплектующие;Видеокарты;PALIT;NE5X960S1041-2060F;Видеокарта PCIE16 GTX960 2GB GDDR5 OC NE5X960S1041-2060F;Chipset-NVIDIA GeForce GTX 960/ Graphics memory size-2048 MB/ Memory bus-128 bit/ Graphics connector-PCIE 3.0 16x/ Graphics memory type-GDDR5/ Memory clock-3600 MHz/ GPU clock-1165 MHz/ GPU boost clock-1228 MHz/ Max resolution-4096x2160/ Cooling system-Dual Slot Fansink/ Input/Output connectors:DVI-2,HDMI-1,DisplayPort-1/ Shipping box quantity-10/ Shipping/Package Box Dimensions:Shipping Box Width-40 cm,Shipping Box Depth-57 cm,Shipping Box Height-40 cm,Shipping Box Weight-11.5 kg/ Unit Brutto Volume-0.00912 cubm/ Unit Net Weight-1 kg/ Unit Gross Weight-1.15 kg/ Parameter Level-3;12813.28;6;2;36 месяцев;https://ecom.elko.ru/Catalog/Product/1166910;11
