Всего позиций: 11584 ;;;;;;;;;;;
Артикул;Наименование;Производитель;Св.;Св.+Тр.;Б. Тр.;Цена*;Цена руб.**;Доп.;;;
Аксессуары и портативная электроника->Web-камеры;;;;;;;;;;;
960-000760;Logitech Webcam C170, 5MP, 640х480, USB, [960-000760];LOGITECH;много ;много ;;14.5;;;;;
960-000636;Logitech Webcam HD Pro C270, 3MP, 1280x720, Rtl, [960-000636];LOGITECH;много ;много ;;19;;;;;
T3H-00013;Microsoft LifeCam HD-3000, Win, 1280x720, 1Mp, USB, new;Microsoft;0* ;0 ;;;1320;;;;
T4H-00004;Microsoft LifeCam HD-3000, Win, 1280x720, 1Mp, USB, [For Business];Microsoft;0 ;0 ;;;1320;;;;
960-000842;Logitech Webcam HD B525, 8MP, 1280x720, [960-000842];LOGITECH;много ;много ;;37.5;;;;;
960-000638;Logitech Webcam HD Pro C310, 5MP, 1280x720, Rtl, [960-000638];LOGITECH;много ;много ;;39;;;;;
6CH-00002;Microsoft LifeCam Cinema, 720p HD(1280x720), USB, [For Business];Microsoft;0* ;0 ;;;2760;;;;
H5D-00015;Microsoft LifeCam Cinema, 720p HD(1280x720), USB, RTL, new;Microsoft;0 ;0 ;;;2760;;;;
960-000723;Logitech Webcam HD C525, 8MP, 1280x720, [960-000723];LOGITECH;0 ;0 ;;52;;;;;
960-000565;Logitech Webcam B905 Portable, 2Mp, 1600x1200, USB, Oem, [960-000565];LOGITECH;0 ;0 ;;57;;;;;
5WH-00002;Microsoft LifeCam Studio, Win, USB, [For Business];Microsoft;много ;много ;;;3850;;;;
Q2F-00018;Microsoft LifeCam Studio, Win, USB, new;Microsoft;0 ;много ;ПП;;3850;;;;
960-000478;Logitech Webcam C905 Portable, 2Mp, Rtl, [960-000478];LOGITECH;0 ;0 ;;61;;;;;
960-000684;Logitech Webcam HD B910, 5MP, USB, Oem, [960-000684];LOGITECH;много ;много ;;72;;;;;
960-000737;Logitech Webcam HD C615, 8MP, 1280x720, [960-000737];LOGITECH;много ;много ;;79;;;;;
960-000769;Logitech Webcam Full HD Pro C920, 10MP, 1920x1080, [960-000769];LOGITECH;много ;много ;;103;;;;;
960-000972;Logitech Webcam Full HD Pro C930e, 1920x1080, [960-000972];LOGITECH;много ;много ;;114;;;;;
960-000923;Logitech TV Cam HD, [960-000923];LOGITECH;0 ;0 ;;212;;;;;
960-000867;Logitech Webcam HD BCC950 ConferenceCam, 3MP, 1920x1080, [960-000867];LOGITECH;0 ;0 ;;272;;;;;
960-000983;Logitech ConferenceCam СС3000e, [960-000983];LOGITECH;0 ;0 ;;950;;;;;
VC8MTE301102;HUAWEI TE30, Videoconferencing Endpoint (720P,All-in-One HD videoconferencing system with embedded HD Codec,HD camera and microphone, including cable assembly, Rack and remote control);Huawei;0 ;много ;ПП;5038;;;;;
Аксессуары и портативная электроника->Аксессуары;;;;;;;;;;;
