Артикул;Наименование;Св.;Св.+Тр.;Б.Тр.;Цена, usd;Цена, руб.;Доп.;Гар.;Производитель;Категория;Раздел;Вес [кг];Объём [л]
Категория - 01. Серверы-> 1-процессорные серверы->ASUS RS100;;;;;;;;;;;;;
RS100-E8-PI2;Серверная платформа ASUS RS100-E8-PI2DVR/WOC/WOM/WOH/WOR/WOI;1;много;;550;;;3 года;ASUS;ASUS RS100;01. Серверы -> 1-процессорные серверы;9.50;55,22
RS100-E7/PI2;Серверная платформа ASUS RS100-E7-PI2/WOCPU/WOMEM/WOHDD//CEE/DVR/EN;много;много;;470;;;3 года;ASUS;ASUS RS100;01. Серверы -> 1-процессорные серверы;10.00;52,16
RS100-X7;Серверная платформа ASUS RS100-X7/WOCPU/WOMEM/WOHDD//CEE/WOD/EN;2;2;;350;;;3 года;ASUS;ASUS RS100;01. Серверы -> 1-процессорные серверы;9.00;53,16
Категория - 01. Серверы-> 1-процессорные серверы->ASUS RS300;;;;;;;;;;;;;
RS300-E7/PS4;Серверная платформа ASUS RS300-E7-PS4/WOCPU/WOMEM/WOHDD//CEE/DVR/EN;много;много;;580;;;3 года;ASUS;ASUS RS300;01. Серверы -> 1-процессорные серверы;16.00;95,76
RS300-E8-PS4;Серверная платформа ASUS RS300-E8-PS4/WOCPU/WOMEM/WOHDD//CEE/DVR/EN;много;много;;620;;;3 года;ASUS;ASUS RS300;01. Серверы -> 1-процессорные серверы;14.50;89,64
RS300-H8-PS12;Серверная платформа ASUS RS300-H8-PS12/WOD/CEE/WOC/WOM/WHO/IK7/EN;2;2;;1060;;;3 года;ASUS;ASUS RS300;01. Серверы -> 1-процессорные серверы;16.30;110,58
RS300-E7/RS4;Серверная платформа ASUS RS300-E7-RS4/WOCPU/WOMEM/WOHDD//2CEE/DVR/ENG;много;много;;780;;;3 года;ASUS;ASUS RS300;01. Серверы -> 1-процессорные серверы;16.40;95,76
RS300-E8-RS4;Серверная платформа ASUS RS300-E8-RS4/DVR/2CEE/WOC/WOM/WOH/WOR/WOI/EN;0;0;;860;;;3 года;ASUS;ASUS RS300;01. Серверы -> 1-процессорные серверы;16.70;95,76
Категория - 01. Серверы-> 1-процессорные серверы->ASUS TS110;;;;;;;;;;;;;
TS110-E8-PI4;Серверная платформа ASUS TS110-E8-PI4/DVR/WOC/WOM/WOH/WOR/WOI;много;много;;500;;;3 года;ASUS;ASUS TS110;01. Серверы -> 1-процессорные серверы;13.40;145,60
Категория - 01. Серверы-> 1-процессорные серверы->ASUS TS300;;;;;;;;;;;;;
TS300-E8-PS4;Серверная платформа ASUS TS300-E8-PS4/WOCPU/WOMEM/WOHDD//CEE/DVR/EN;0 *;0;;670;;;3 года;ASUS;ASUS TS300;01. Серверы -> 1-процессорные серверы;20.70;162,84
